#time   elevator
3.638   -0.2344
3.6482  -0.3955
3.6583  -0.5849
3.6722  -0.8857
3.688   -1.2767
3.7072  -1.79
3.7305  -2.4417
3.7609  -3.2313
3.7866  -3.7775
3.8074  -4.1196
3.8256  -4.3384
3.841   -4.4691
3.8534  -4.5317
3.8662  -4.5721
3.8827  -4.5846
3.9041  -4.5512
3.9375  -4.4382
3.9708  -4.3129
4.0041  -4.2171
4.0359  -4.166
4.0683  -4.1532
4.1005  -4.163
4.1258  -4.1722
4.1511  -4.1719
4.1788  -4.1573
4.2062  -4.1239
4.2343  -4.075
4.2656  -4.0111
4.2989  -3.9462
4.3323  -3.8927
4.3606  -3.8596
4.392   -3.8311
4.4254  -3.806
4.4586  -3.7851
4.4889  -3.7693
4.5157  -3.7635
4.5364  -3.7508
4.5571  -3.7192
4.5776  -3.6297
4.5964  -3.4636
4.6078  -3.3125
4.6192  -3.1128
4.6326  -2.803
4.6437  -2.4949
4.6542  -2.1585
4.6652  -1.7653
4.6779  -1.2648
4.6959  -0.499
4.7166  0.405
4.7388  1.3243
4.7593  2.0473
4.7773  2.5493
4.7925  2.8654
4.8063  3.0589
4.8197  3.1717
4.8333  3.2069
4.8446  3.1887
4.8563  3.1272
4.8675  3.0397
4.8787  2.9216
4.8926  2.7577
4.9096  2.5405
4.9429  2.1417
4.9626  1.9645
4.9771  1.8716
4.9915  1.8143
5.0042  1.7903
5.017   1.7999
5.0356  1.8528
5.0601  1.9567
5.0903  2.0994
5.112   2.1896
5.1336  2.2603
5.1669  2.3253
5.1939  2.3383
5.2273  2.3255
5.2606  2.2991
5.2939  2.2746
5.3273  2.263
5.3606  2.2594
5.3939  2.26
5.4272  2.2582
5.4606  2.2595
5.4925  2.2614
5.5258  2.2623
5.5592  2.2596
5.591   2.2507
5.6244  2.2326
5.6522  2.2151
5.6827  2.2014
5.7143  2.1949
5.7446  2.1941
5.7779  2.1949
5.8112  2.1928
5.841   2.1932
5.8686  2.1887
5.902   2.1798
5.9353  2.1682
5.9686  2.1597
6.002   2.1499
6.0311  2.1602
6.0553  2.1857
6.0796  2.2341
6.1129  2.3257
6.1403  2.3667
6.1508  2.3518
6.1612  2.3158
6.1705  2.2576
6.1797  2.1726
6.1977  1.9126
6.2158  1.5282
6.2304  1.1298
6.2428  0.7244
6.254   0.3235
6.2655  -0.1195
6.2806  -0.7266
6.2992  -1.4872
6.321   -2.3393
6.3359  -2.8622
6.3507  -3.3307
6.3629  -3.6579
6.3736  -3.9054
6.3846  -4.1228
6.3961  -4.3025
6.407   -4.4337
6.4179  -4.5275
6.4309  -4.5954
6.4419  -4.6196
6.4549  -4.6147
6.4684  -4.5813
6.4904  -4.4777
6.5169  -4.3134
6.5459  -4.1446
6.5725  -4.0261
6.5962  -3.9654
6.619   -3.9504
6.6443  -3.9736
6.6769  -4.0413
6.7102  -4.1265
6.7435  -4.202
6.7707  -4.246
6.7955  -4.2745
6.8289  -4.2899
6.8604  -4.295
6.8937  -4.2889
6.927   -4.2688
6.9571  -4.2411
6.9815  -4.2095
7.0045  -4.1814
7.0275  -4.1538
7.0495  -4.1264
7.0762  -4.0949
7.1095  -4.0526
7.1428  -4.0104
7.175   -3.9503
7.197   -3.8586
7.219   -3.6748
7.2386  -3.3871
7.2555  -3.0236
7.2692  -2.6437
7.2834  -2.1555
7.2948  -1.7068
7.3068  -1.1916
7.3256  -0.3038
7.3439  0.6002
7.3653  1.6223
7.3788  2.2297
7.3923  2.7619
7.4078  3.2783
7.4192  3.5938
7.4307  3.8375
7.44    3.9892
7.4566  4.149
7.4704  4.1944
7.4822  4.1669
7.4935  4.0956
7.5047  3.9926
7.5177  3.841
7.544   3.4644
7.5724  3.0485
7.5959  2.7663
7.618   2.5772
7.6384  2.4774
7.6577  2.4504
7.6784  2.4797
7.701   2.5603
7.7245  2.6722
7.7465  2.7804
7.7686  2.8705
7.8019  2.9561
7.8352  2.9776
7.8674  2.9537
7.895   2.917
7.9283  2.8812
7.9614  2.8614
7.9947  2.86
8.0233  2.8675
8.0515  2.8761
8.0806  2.8793
8.1139  2.8755
8.1473  2.8738
8.177   2.8724
8.2103  2.8714
8.2417  2.8726
8.2714  2.8699
8.2998  2.8744
8.3299  2.8921
8.3632  2.9041
8.388   2.8682
8.4043  2.7996
8.4206  2.6764
8.4351  2.5128
8.449   2.3081
8.4658  1.9953
8.4814  1.6524
8.4944  1.3368
8.5083  0.9808
8.5416  0.1367
8.5686  -0.4439
8.5864  -0.7312
8.6041  -0.9362
8.6187  -1.0453
8.6404  -1.1027
8.6572  -1.0704
8.6741  -0.988
8.6895  -0.8807
8.716   -0.6496
8.7422  -0.4128
8.7684  -0.2036
8.8009  -0.0242
8.8315  0.055
8.862   0.0664
8.8954  0.0314
8.9287  -0.0144
8.962   -0.0448
8.9922  -0.0564
9.0196  -0.0452
9.0451  -0.0281
9.0764  -0.0072
9.1097  0.0095
9.1431  0.0193
9.1702  0.0241
9.2034  0.0241
9.2367  0.0236
9.2673  0.0225
9.3006  0.0192
9.334   0.0165
9.3624  0.0109
9.3897  0.0081
9.4227  0.0044
9.454   0
9.4869  -0.0005
9.5202  0
9.5533  0.0048
9.5866  0.0128
9.6199  0.024
9.6533  0.0333
9.684   0.0441
9.7173  0.0499
9.7506  0.0578
9.779   0.0579
9.8115  0.0579
9.842   0.0544
9.8715  0.0531
9.9     0.0499
9.9333  0.0493
9.9629  0.0515
9.9883  0.0529
10.0216 0.0534
10.0545 0.0564
10.0878 0.0592
10.1212 0.0551
10.1492 0.058
10.1812 0.0543
10.2068 0.0499
10.2401 0.0435
10.2734 0.0402
10.3067 0.0435
10.3401 0.0467
10.3711 0.0483
10.4045 0.0499
10.4378 0.0442
10.4711 0.0354
10.5044 0.0259
10.533  0.0193
10.5579 0.0193
10.5912 0.0193
10.6242 0.0193
10.6576 0.0193
10.6909 0.0176
10.7233 0.0139
10.7566 0.0139
10.79   0.0161
10.8233 0.0214
10.8566 0.0295
10.8899 0.029
10.9233 0.0258
10.9516 0.0209
10.9849 0.0153
11.0183 0.0115
11.0516 0.0083
11.082  0.0094
11.1153 0.0064
11.1486 0.0018
11.182  0.0006
11.2126 0.0045
11.2386 0.011
11.2719 0.0221
11.3017 0.0376
11.3351 0.0499
11.363  0.0547
11.3916 0.0528
11.4187 0.0443
11.4464 0.0323
11.4798 0.0194
11.5131 0.0102
11.5441 0.0135
11.5774 0.0233
11.6108 0.0355
11.6441 0.0425
11.6774 0.0451
11.7107 0.0466
11.7392 0.048
11.7711 0.0514
11.7993 0.0515
11.824  0.0506
11.8486 0.0451
11.882  0.0367
11.9138 0.029
11.9471 0.0278
11.9805 0.029
12.0138 0.036
12.0471 0.0414
12.0804 0.0499
12.1137 0.0579
12.1417 0.0571
12.1669 0.0557
12.192  0.0524
12.2164 0.043
12.2461 0.0334
12.2794 0.0195
12.3128 0.0092
12.3436 0.0112
12.3755 0.0155
12.4088 0.0207
12.4421 0.0258
12.4734 0.0241
12.49   0.0225
